# source_url=https://www.sen.go.kr/www/website.jsp
# source_as_of=2026-08-10
# source_sha256=9f202202edc653b09b4debb5a0ff939cf9fcdc64dd58174b28f8d009bb1b7424
# normalized_sha256=47a2b2ceadca2a6240fa08088ad0655098409016a4345844a9f81683257078b8
# license_name=KOGL_TYPE_1_ATTRIBUTION
# attribution=Source: Seoul Metropolitan Office of Education (organization directory and 2026 civil-service handbook)
institution_id,official_name,institution_type,foundation_type,education_office,road_address,district,latitude,longitude
sen:district-seongdong-gwangjin,\uc131\ub3d9\uad11\uc9c4\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc131\ub3d9\uad6c \uace0\uc0b0\uc790\ub85c 280,\uc131\ub3d9\uad6c,,
sen:district-seongbuk-gangbuk,\uc131\ubd81\uac15\ubd81\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ubd81\uad6c \uc194\ub9e4\ub85c50\uae38 65,\uac15\ubd81\uad6c,,
sen:agency-research-info,\uad50\uc721\uc5f0\uad6c\uc815\ubcf4\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc911\uad6c \uc18c\ud30c\ub85c 46,\uc911\uad6c,,
sen:agency-science,\uc735\ud569\uacfc\ud559\uad50\uc721\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uad00\uc545\uad6c \ub099\uc131\ub300\ub85c 101,\uad00\uc545\uad6c,,
sen:agency-training,\uad50\uc721\uc5f0\uc218\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc11c\ucd08\uad6c \ub0a8\ubd80\uc21c\ud658\ub85c 2248,\uc11c\ucd08\uad6c,,
sen:agency-student,\ud559\uc0dd\uad50\uc721\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uacbd\uae30\ub3c4 \uac00\ud3c9\uad70 \uc0c1\uba74 \ucd95\ub839\ub85c45\ubc88\uae38 40-135,\uac00\ud3c9\uad70,,
sen:agency-early-childhood,\uc720\uc544\uad50\uc721\uc9c4\ud765\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc0ac\uc9c1\ub85c9\uae38 15-8,\uc885\ub85c\uad6c,,
sen:agency-health-safety,\ubcf4\uac74\uc548\uc804\uc9c4\ud765\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc1a1\uc6d4\uae38 48,\uc885\ub85c\uad6c,,
sen:agency-student-gym,\ud559\uc0dd\uccb4\uc721\uad00,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc1a1\ud30c\uad6c \uc62c\ub9bc\ud53d\ub85c 25,\uc1a1\ud30c\uad6c,,
sen:agency-facilities,\uad50\uc721\uc2dc\uc124\uad00\ub9ac\ubcf8\ubd80,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc131\ubd81\uad6c \uc624\ud328\uc0b0\ub85c3\uae38 105,\uc131\ubd81\uad6c,,
sen:lifelong-godeok,\uace0\ub355\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub3d9\uad6c \uace0\ub355\ub85c 295,\uac15\ub3d9\uad6c,,
sen:lifelong-nowon,\ub178\uc6d0\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub178\uc6d0\uad6c \ub3d9\uc77c\ub85c204\uae38 13,\ub178\uc6d0\uad6c,,
sen:lifelong-yeongdeungpo,\uc601\ub4f1\ud3ec\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc601\ub4f1\ud3ec\uad6c \ubc84\ub4dc\ub098\ub8e8\ub85c15\uae38 10,\uc601\ub4f1\ud3ec\uad6c,,
sen:lifelong-mapo,\ub9c8\ud3ec\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub9c8\ud3ec\uad6c \ud64d\uc775\ub85c2\uae38 16,\ub9c8\ud3ec\uad6c,,
sen:library-gangnam,\uac15\ub0a8\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub0a8\uad6c \uc120\ub989\ub85c116\uae38 45,\uac15\ub0a8\uad6c,,
sen:library-gangdong,\uac15\ub3d9\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub3d9\uad6c \uc591\uc7ac\ub300\ub85c116\uae38 57,\uac15\ub3d9\uad6c,,
sen:library-gangseo,\uac15\uc11c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\uc11c\uad6c \ub4f1\ucd0c\ub85c51\ub098\uae38 29,\uac15\uc11c\uad6c,,
sen:library-gaepo,\uac1c\ud3ec\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub0a8\uad6c \uc120\ub989\ub85c4\uae38 30,\uac15\ub0a8\uad6c,,
sen:library-gocheok,\uace0\ucc99\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uad6c\ub85c\uad6c \uace0\ucc99\ub85c45\uae38 31,\uad6c\ub85c\uad6c,,
sen:library-guro,\uad6c\ub85c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uad6c\ub85c\uad6c \uacf5\uc6d0\ub85c 15,\uad6c\ub85c\uad6c,,
sen:library-namsan,\ub0a8\uc0b0\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc6a9\uc0b0\uad6c \uc18c\uc6d4\ub85c 109,\uc6a9\uc0b0\uad6c,,
sen:library-dobong,\ub3c4\ubd09\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3c4\ubd09\uad6c \uc0bc\uc591\ub85c 556,\ub3c4\ubd09\uad6c,,
sen:library-dongdaemun,\ub3d9\ub300\ubb38\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3d9\ub300\ubb38\uad6c \ucc9c\ud638\ub300\ub85c4\uae38 22,\ub3d9\ub300\ubb38\uad6c,,
sen:library-dongjak,\ub3d9\uc791\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3d9\uc791\uad6c \uc7a5\uc2b9\ubc30\uae30\ub85c 94,\ub3d9\uc791\uad6c,,
sen:library-seodaemun,\uc11c\ub300\ubb38\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc11c\ub300\ubb38\uad6c \ubaa8\ub798\ub0b4\ub85c 412,\uc11c\ub300\ubb38\uad6c,,
sen:library-children,\uc5b4\ub9b0\uc774\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc0ac\uc9c1\ub85c9\uae38 7,\uc885\ub85c\uad6c,,
sen:library-songpa,\uc1a1\ud30c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc1a1\ud30c\uad6c \ub3d9\ub0a8\ub85c 263,\uc1a1\ud30c\uad6c,,
sen:library-yangcheon,\uc591\ucc9c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc591\ucc9c\uad6c \ubaa9\ub3d9\uc11c\ub85c 113,\uc591\ucc9c\uad6c,,
sen:library-yongsan,\uc6a9\uc0b0\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc6a9\uc0b0\uad6c \ub450\ud141\ubc14\uc704\ub85c 160,\uc6a9\uc0b0\uad6c,,
sen:library-jeongdok,\uc815\ub3c5\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \ubd81\ucd0c\ub85c5\uae38 48,\uc885\ub85c\uad6c,,
sen:library-jongno,\uc885\ub85c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc0ac\uc9c1\ub85c9\uae38 15-14,\uc885\ub85c\uad6c,,
